Name,Edição,Etiquetas,Seção,Tema,URL
Filhos de pombagira,119,Homossexualidades,Dossiê,"Relação do candomblé com a homossexualidade é mais livre, mas também reflete preconceitos sociais",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/capa/filhos-de-pombagira
Viver e lutar,119,Homossexualidades,Dossiê,"Surgimento da Aids realimentou preconceitos contra os homossexuais, mas fez nascer uma nova militância no país.",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/capa/viver-e-lutar
Ainda a barbárie,119,Homossexualidades,Dossiê,"Apesar de avanços institucionais e da crescente visibilidade LGBT, Brasil ainda apresenta cenário de violência e desigualdade para os homossexuais",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/capa/ainda-a-barbarie
Especial tomada de Ceuta - O Atlântico começa em Ceuta,119,,Artigos,"Tomada da cidade africana, há seis séculos, transformou-se paulatinamente em evento inaugural dos grandes descobrimentos portugueses",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/artigos-revista/especial-tomada-de-ceuta-o-atlantico-comeca-em-ceuta
Especial tomada de Ceuta - A grande conquista,119,,Artigos,"A vitória contra os muçulmanos em Ceuta foi um marco da expansão portuguesa, da legitimação de um novo rei e de uma dinastia",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/artigos-revista/especial-tomada-de-ceuta-a-grande-conquista
Especial Dia do Historiador - O presente da memória,119,,Artigos,"Dia do Historiador, que homenageia Joaquim Nabuco, gera reflexão sobre o ofício numa sociedade marcada pela escravidão",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/artigos-revista/especial-dia-do-historiador-o-presente-da-memoria
Enquanto isso...,119,,Artigos,No tempo de Francisco das Manhas... registros do velho e do novo continente.,https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/artigos-revista/enquanto-isso-16
Quadrinhos - Fardado e antenado,119,,Artigos,"Do belicismo aos movimentos negro e feminista, os principais episódios políticos de sua época influenciaram as tirinhas do Recruta Zero",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/artigos-revista/quadrinhos-fardado-e-antenado
Escravatura branca,119,,Artigos,"Sob falsas promessas, milhares de açorianos emigraram ilegalmente e acabaram vítimas de trabalho abusivo no Brasil",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/artigos-revista/escravatura-branca
Distantes camaradas,119,,Artigos,Imprensa anarquista noticiou a Revolução Mexicana como um exemplo a ser seguido pelos operários brasileiros,https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/artigos-revista/distantes-camaradas
Maria Rita Kehl,119,,Entrevista,“A constituição do sujeito deve ser investigada caso a caso”,https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/entrevista/maria-rita-kehl
James Green,119,,Entrevista,“As maiores manifestações populares são as do movimento LGBT.”,https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/entrevista/james-green
Especial Dia do Historiador - Márcia Chuva,119,,Entrevista,O lugar da controvérsia,https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/entrevista/especial-dia-do-historiador-marcia-chuva
Santo fora do armário,119,,Leituras,"Numa das obras em que trata da homossexualidade e critica a tradição judaico-cristã, Gore Vidal apresenta o apóstolo Paulo como gay",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/leituras/santo-fora-do-armario
"Amor, gênero e classe em Gustave Courbet",119,,Perspectiva,"Nas pinturas do francês, a homossexualidade feminina era uma arma política contra a cultura burguesa",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/perspectiva/amor-genero-e-classe-em-gustave-courbet
Uma escola para a diferença,119,,Educação,"Professores e funcionários podem possibilitar espaços de existência para alunas e alunos, ou reproduzir situações de violência e discriminação",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/educacao/uma-escola-para-a-diferenca-1
Sonhos dourados,119,,Retrato,"Considerado o pai dos bandeirantes, D. Francisco de Souza usou métodos pouco ortodoxos em sua obsessão pela descoberta de minérios",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/retrato/sonhos-dourados
Eram os fenícios cariocas?,119,,Por dentro do Documento,"Reportagem de 1932 realimenta mistério sobre inscrições na Pedra da Gávea, supostamente feitas por antiga civilização",https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/por-dentro-do-documento/eram-os-fenicios-cariocas
Santos remédios,119,,A História do Historiador,Anotações em livro do século XVIII revelam práticas de cura,https://web.archive.org/web/20160122104931/http://revistadehistoria.com.br/secao/a-historia-do-historiador/santos-remedios
A cura pela natureza,118,,Decifre,Formulário médico de 1703 descreve doenças e inclui receitas indígenas,https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/decifre/a-cura-pela-natureza
Carta do Editor,118,,Carta do editor,,https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/carta-do-editor/carta-do-editor-2
"Em comum, a favela",118,,Em dia,Roda de leitura leva adolescentes a montarem exposição com memórias locais,https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/em-dia/em-comum-a-favela
Projetar para provocar,118,,Em dia,Intervenção urbana em Salvador dá novo sentido a monumentos históricos,https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/em-dia/projetar-para-provocar
"Conspiremos todos, punam-se alguns",118,Conjuração Baiana,Dossiê,"Conjuração Baiana de 1798 mobilizou insatisfações da elite privilegiada, mas acabou com a execução de mulatos pobres",https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/capa/conspiremos-todos-punam-se-alguns
A revolução cruza o Atlântico,118,Conjuração Baiana,Dossiê,"Aproveitando-se da frouxa vigilância, franceses fizeram circular ideais libertários no fértil terreno da sociedade baiana",https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/capa/a-revolucao-cruza-o-atlantico
Abrir as portas por dentro,118,Conjuração Baiana,Dossiê,"O fim da escravidão na leitura dos cartazes, na abordagem aos cativos e nas lacunas da Conjuração Baiana",https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/capa/abrir-as-portas-por-dentro
As letras do enforcado,118,Conjuração Baiana,Dossiê,Escritos na posse de inconfidente sugerem o efeito das ideias francesas em sociedade de contato restrito com a leitura,https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/capa/as-letras-do-enforcado
Cidadãos em armas,118,,Artigos,"Formada por milicianos civis, a Guarda Nacional substituiu o debilitado exército, antes de virar instrumento de poder dos grandes proprietários",https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/artigos-revista/cidadaos-em-armas
A voz da arquibancada,118,,Artigos,"Durante os protestos estudantis contra a ditadura, o Jornal dos Sports influenciou o surgimento de jovens torcidas contestadoras",https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/artigos-revista/a-voz-da-arquibancada
Enquanto isso...,118,,Artigos,No tempo de Rugendas no Brasil... telas europeias encerram um ciclo,https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/artigos-revista/enquanto-isso-15
“Fumam a planta e sabem mil coisas”,118,,Artigos,"Na primeira metade do século XX, cresce o interesse de intelectuais pelos usos populares da maconha no Brasil",https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/artigos-revista/fumam-a-planta-e-sabem-mil-coisas
Madame vira a mesa,118,,Artigos,"Em suplemento feminino da revista A Cigarra, quadrinhos desconstruíam o discurso da mulher submissa",https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/artigos-revista/madame-vira-a-mesa
Imagens da multidão,118,,Artigos,Foi por meio da cobertura televisiva que os protestos “das redes sociais” viraram acontecimento político,https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/artigos-revista/imagens-da-multidao
Latifúndio inabalável,118,,Artigos,"Projetos de reforma agrária remontam ao período colonial e ganharam apoio até do imperador, mas nunca vingaram",https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/artigos-revista/latifundio-inabalavel
Quentin Skinner,118,,Entrevista,“Tentem dizer algo que não seja o mesmo que já estão dizendo”,https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/entrevista/quentin-skinner-1
Especial Congresso de Viena - Os pesos e as medidas,118,,Leituras,"Reformista que criticou a Revolução Francesa, Edmund Burke precisa ser entendido sob os valores do seu tempo",https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/leituras/especial-congresso-de-viena-os-pesos-e-as-medidas
Especial Congresso de Viena - Abaixo a Revolução!,118,,Leituras,"Há 200 anos, o Congresso de Viena reuniu potências europeias para tentar salvar as monarquias e barrar os ventos liberais",https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/leituras/especial-congresso-de-viena-abaixo-a-revolucao
Sob novas impressões,118,,Perspectiva,Gravuras de Rugendas flagram a expansão da escrita transformando as relações sociais até mesmo entre iletrados,https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/perspectiva/sob-novas-impressoes
Questionar-se com mestres,118,,Educação,Reflexões de Lucien Febvre e Marc Bloch extrapolam a pesquisa acadêmica e ajudam a questionar o atual ensino de história,https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/educacao/questionar-se-com-mestres
Destinos de Osifekunde,118,,Retrato,"A aventura de um homem que foi nobre na África, escravo no Brasil e informante na Europa",https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/retrato/destinos-de-osifekunde
Escritos das fronteiras,118,,Por dentro do Documento,Coleção de manuscritos compilada por italiano permite conhecer a vida no Rio da Prata ao longo de séculos,https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/por-dentro-do-documento/escritos-das-fronteiras
Onde estão os trabalhadores?,118,,A História do Historiador,"Ao chegar à Argentina, a surpresa: meu objeto de pesquisa não existia",https://web.archive.org/web/20160122080326/http://revistadehistoria.com.br/secao/a-historia-do-historiador/onde-estao-os-trabalhadores
Eleições na vila,117,,Decifre,"Na primeira vila cearense, o registro de uma eleição administrativa",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/decifre/eleicoes-na-vila
Mulheres em conflito,117,,Carta do editor,Dossiê de junho demonstra como a participação das mulheres foi significativa em diversos confrontos,https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/carta-do-editor/carta-do-editor-1
Titanossauros de Dirceu,117,,Em dia,Ossada encontrada em Marília pode ser a mais completa do Brasil,https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/em-dia/titanossauros-de-dirceu
Canto do povo de um lugar,117,,Em dia,Krahôs trabalham em conjunto com o Museu do Índio para identificar registros audiovisuais,https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/em-dia/canto-do-povo-de-um-lugar
A Independência delas,117,Mulheres em Conflitos,Dossiê,"Na Bahia, a luta pela emancipação do Brasil mudou a vida de muitas mulheres, dentro e fora do campo de batalha",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/capa/a-independencia-delas
Guerreiras da Amazônia,117,Mulheres em Conflitos,Dossiê,"Nas matas, nos rios ou em combate, mulheres tiveram participação ativa na revolta popular da Cabanagem",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/capa/guerreiras-da-amazonia
Sofrimento invisível,117,Mulheres em Conflitos,Dossiê,"Na fronteira do Mato Grosso, mulheres tornaram-se alvo da violência dos invasores durante a Guerra do Paraguai",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/capa/sofrimento-invisivel
As cangaceiras,117,Mulheres em Conflitos,Dossiê,"No rastro de Maria Bonita, dezenas de mulheres mudaram de vida ao integrar os famosos bandos do sertão",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/capa/as-cangaceiras
Voluntárias pela vitória,117,Mulheres em Conflitos,Dossiê,"Liderada por Darcy Vargas, Legião Brasileira de Assistência mobilizou mulheres durante a Segunda Guerra",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/capa/voluntarias-pela-vitoria
Vida de guerrilheira,117,Mulheres em Conflitos,Dossiê,"Muitas mulheres largaram tudo para se engajar na luta armada, e sofreram as violências da repressão",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/capa/vida-de-guerrilheira
"Pedras, bombas e machismo",117,Mulheres em Conflitos,Dossiê,"Além dos confrontos entre policiais e black blocs, grandes manifestações foram marcadas por discriminação às mulheres",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/capa/pedras-bombas-e-machismo
Todas contra a lei,117,Mulheres em Conflitos,Dossiê,"Na Guerra dos Marimbondos, homens e mulheres fizeram barulho contra um decreto que supostamente legitimava a escravidão ilegal",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/capa/todas-contra-a-lei
A cor do padre,117,,Artigos,"Mulato e filho de ex-escravos, José Maurício foi ordenado sacerdote e alcançou prestígio na corte de D. João",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/artigos-revista/a-cor-do-padre
Vamos falar de racismo?,117,,Artigos,Trotes violentos nas universidades brasileiras trazem à tona uma discussão que nem todo mundo está disposto a encarar,https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/artigos-revista/vamos-falar-de-racismo
Todos ao palco!,117,,Artigos,"Grupos de teatro amador movimentaram o Rio de Janeiro na virada do século, divertindo, instruindo e politizando a sociedade",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/artigos-revista/todos-ao-palco
Enquanto isso...,117,,Artigos,"No tempo do teatro amador no Brasil... salas, peças e autores do teatro mundial",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/artigos-revista/enquanto-isso-14
Anos de chumbo e concreto,117,,Artigos,"Foi durante a ditadura que as grandes empreiteiras consolidaram seu poder, em íntimas ligações com o Estado",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/artigos-revista/anos-de-chumbo-e-concreto
Cuidando dos primeiros americanos,117,,Artigos,Descobertas arqueológicas sobre os vestígios de nossos antepassados dependem de um minucioso trabalho laboratorial,https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/artigos-revista/cuidando-dos-primeiros-americanos
Maria Alice Rezende de Carvalho,117,,Entrevista,&quot;Os jovens e as cidades se tornaram protagonistas de um movimento de renovação da democracia no mundo”,https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/entrevista/maria-alice-rezende-de-carvalho
Carlos Moore,117,,Entrevista,“Classe social e raça andam paralelamente interferindo uma na outra. Formam uma dinâmica perversa.”,https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/entrevista/carlos-moore
Onde andará Kaximbown?,117,,Leituras,"Com personagens e histórias fantásticas, Max Yantok foi um dos nomes mais originais da literatura infantil brasileira",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/leituras/onde-andara-kaximbown
Tingidas de tragédia,117,,Perspectiva,"Raramente presentes em pinturas de guerra, mulheres simbolizam a violência contra inocentes ou viram alegoria",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/perspectiva/tingidas-de-tragedia
Livres para aprender,117,,Educação,"Antes da Abolição, escola-modelo criada por D. Pedro II abriu oportunidades para ex-escravos",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/educacao/livres-para-aprender
Quem se lembra do Teixeirinha?,117,,Retrato,Cantor gaúcho que mobilizou milhões com discos e filmes acabou apagado da história da música,https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/retrato/quem-se-lembra-do-teixeirinha
Trollando na Belle Époque,117,,Por dentro do Documento,"No início do século XX, o Pathé Jornal criou um dicionário em tom de paródia, com expressões que eram corriqueiras nas ruas de Manaus",https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/por-dentro-do-documento/trollando-na-belle-epoque
Em busca da religião romana,117,,A História do Historiador,Estudar a religião da Roma Antiga implica superar anacronismos,https://web.archive.org/web/20160122092326/http://revistadehistoria.com.br/secao/a-historia-do-historiador/em-busca-da-religiao-romana
Notícias do século passado,116,,Decifre,Disputas por índios levaram à expulsão dos jesuítas do Colégio de São Paulo,https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/decifre/noticias-do-seculo-passado
Conexão Braga,116,,Em dia,Festival de História 2015 discute a língua portuguesa e ganha versão em Portugal,https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/em-dia/conexao-braga
Prisão não tem idade,116,,Em dia,"Lançado em DVD, longa-metragem premiado expõe situação dos menores infratores",https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/em-dia/prisao-nao-tem-idade
Pela vida dos outros,116,Fim da Guerra,Dossiê,"Em toda a Europa, o antifascismo ergueu-se sob condições adversas para escrever episódios memoráveis de resistência",https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/capa/pela-vida-dos-outros
Silêncio sob ruínas,116,Fim da Guerra,Dossiê,Raros são os relatos sobre a destruição de cidades e vidas durante os bombardeios aliados na Alemanha,https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/capa/silencio-sob-ruinas
O front é aqui,116,Fim da Guerra,Dossiê,"São Paulo viveu os efeitos da Segunda Guerra na escassez de produtos, na mobilização popular e nas políticas públicas",https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/capa/o-front-e-aqui
A repartição do mundo,116,Fim da Guerra,Dossiê,"Além de definirem os acordos do fim da Segunda Guerra, conferências de Ialta e Potsdam podem ter determinado o início da Guerra Fria",https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/capa/a-reparticao-do-mundo
O pior dos fins,116,Fim da Guerra,Dossiê,Bombardeios nucleares em Hiroshima e Nagasaki ainda geram vítimas e controvérsias. Necessidade ou crime de guerra?,https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/capa/o-pior-dos-fins
Paraíso duvidoso,116,Fim da Guerra,Dossiê,"Ao contrário da versão que costuma ser difundida, o Brasil nem sempre foi benevolente com criminosos nazistas que vieram se refugiar aqui",https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/capa/paraiso-duvidoso
Aquém do horror,116,Fim da Guerra,Dossiê,"Voltados à ordem e ao bem-estar social, os direitos do pós-guerra ainda não alcançavam uma perspectiva universal",https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/capa/aquem-do-horror
Vigiar até punir,116,,Artigos,"No clima da Guerra Fria, serviço de inteligência do Uruguai acompanhou “atividades comunistas” muito antes da ditadura",https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/artigos-revista/vigiar-ate-punir
Enquanto isso...,116,,Artigos,"Nos tempos de anticomunismo uruguaio, hegemonia conservadora no mundo",https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/artigos-revista/enquanto-isso-13
"Poder de branco, poder de índio",116,,Artigos,"Nativos da Amazônia submeteram-se à ordem colonial europeia, mas também fizeram valer seus interesses",https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/artigos-revista/poder-de-branco-poder-de-indio
Peões do tráfico,116,,Artigos,Correspondência de funcionários do comércio de escravos no rio Benim revela suas transações em um cotidiano duro e miserável,https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/artigos-revista/peoes-do-trafico
Nelson Cantarino,116,,Entrevista,“A agenda de Bretton Woods conseguiu evitar a repetição do caos econômico dos anos 1920”,https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/entrevista/nelson-cantarino
&quot;A língua portuguesa que falamos é culturalmente negra&quot;,116,,Entrevista,“A proximidade entre o português arcaico e as línguas do grupo banto resultou no português que falamos hoje”,https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/entrevista/yeda-pessoa-de-castro
Testemunhar Auschwitz,116,,Leituras,Literatura dos sobreviventes do Holocausto é uma inglória luta para voltar à vida por meio das palavras,https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/leituras/testemunhar-auschwitz
O convento abre caminhos,116,,Perspectiva,"Fundado a partir de profecias, o Mosteiro da Luz inaugurou nova fase urbanística no Centro de São Paulo",https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/perspectiva/o-convento-abre-caminhos
Lições de deuses e heróis,116,,Educação,Grandes narrativas míticas são um caminho convidativo para aproximar os jovens das questões da Grécia Antiga,https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/educacao/licoes-de-deuses-e-herois
Um militar exemplar,116,,Retrato,"Herói de guerra e democrata, o brigadeiro Rui Moreira Lima soube posicionar-se nos melhores e piores momentos das Forças Armadas",https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/retrato/um-militar-exemplar
O Rio dá as cartas,116,,Por dentro do Documento,"Apresentado como souvenir, baralho de 1922 retrata lugares e eventos da moderna capital no centenário da Independência",https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/por-dentro-do-documento/o-rio-da-as-cartas
Histórias só existem quando lembradas,116,,A História do Historiador,Criação de arquivo público no interior do Ceará mexeu com a memória local,https://web.archive.org/web/20160122120642/http://revistadehistoria.com.br/secao/a-historia-do-historiador/historias-so-existem-quando-lembradas
